day,ideal_coverage_percent,productivity_90_percent,productivity_75_percent
18.958333,0.00510896977451,0.00510896977451,0.00510896977451
19.000000,0.00517947467923,0.00517947467923,0.00517947467923
19.041667,0.00525095256712,0.00525095256712,0.00525095256712
19.083333,0.00532341686556,0.00532341686556,0.00532341686556
19.125000,0.00539688118723,0.00539688118723,0.00539688118723
19.166667,0.00547135933267,0.00547135933267,0.00547135933267
19.208333,0.00554686529287,0.00554686529287,0.00554686529287
19.250000,0.0056234132519,0.0056234132519,0.0056234132519
19.291667,0.00570101758958,0.00570101758958,0.00570101758958
19.333333,0.00577969288415,0.00577969288415,0.00577969288415
19.375000,0.00585945391507,0.00585945391507,0.00585945391507
19.416667,0.00594031566573,0.00594031566573,0.00594031566573
19.458333,0.0060222933263,0.0060222933263,0.0060222933263
19.500000,0.00610540229659,0.00610540229659,0.00610540229659
19.541667,0.00618965818891,0.00618965818891,0.00618965818891
19.583333,0.00627507683106,0.00627507683106,0.00627507683106
19.625000,0.00636167426922,0.00636167426922,0.00636167426922
19.666667,0.00644946677104,0.00644946677104,0.00644946677104
19.708333,0.00653847082866,0.00653847082866,0.00653847082866
19.750000,0.00662870316183,0.00662870316183,0.00662870316183
19.791667,0.006720180721,0.006720180721,0.006720180721
19.833333,0.00681292069058,0.00681292069058,0.00681292069058
19.875000,0.0069069404921,0.0069069404921,0.0069069404921
19.916667,0.00700225778753,0.00700225778753,0.00700225778753
19.958333,0.00709889048257,0.00709889048257,0.00709889048257
20.000000,0.00719685673001,0.00719685673001,0.00719685673001
20.041667,0.00729617493318,0.00729617493318,0.00729617493318
20.083333,0.00739686374937,0.00739686374937,0.00739686374937
20.125000,0.00749894209332,0.00749894209332,0.00749894209332
20.166667,0.00760242914084,0.00760242914084,0.00760242914084
20.208333,0.00770734433234,0.00770734433234,0.00770734433234
20.250000,0.00781370737652,0.00781370737652,0.00781370737652
20.291667,0.00792153825406,0.00792153825406,0.00792153825406
20.333333,0.00803085722139,0.00803085722139,0.00803085722139
20.375000,0.00814168481448,0.00814168481448,0.00814168481448
20.416667,0.00825404185268,0.00825404185268,0.00825404185268
20.458333,0.00836794944268,0.00836794944268,0.00836794944268
20.500000,0.00848342898244,0.00848342898244,0.00848342898244
20.541667,0.0086005021652,0.0086005021652,0.0086005021652
20.583333,0.0087191909836,0.0087191909836,0.0087191909836
20.625000,0.00883951773374,0.00883951773374,0.00883951773374
20.666667,0.00896150501947,0.00896150501947,0.00896150501947
20.708333,0.00908517575652,0.00908517575652,0.00908517575652
20.750000,0.00921055317689,0.00921055317689,0.00921055317689
20.791667,0.0093376608332,0.0093376608332,0.0093376608332
20.833333,0.00946652260308,0.00946652260308,0.00946652260308
20.875000,0.00959716269368,0.00959716269368,0.00959716269368
20.916667,0.00972960564621,0.00972960564621,0.00972960564621
20.958333,0.00986387634057,0.00986387634057,0.00986387634057
21.000000,0.01,0.01,0.01
21.041667,0.0101380021958,0.0101380021958,0.0101380021958
21.083333,0.0102779088522,0.0102779088522,0.0102779088522
21.125000,0.0104197462512,0.0104197462512,0.0104197462512
21.166667,0.0105635410375,0.0105635410375,0.0105635410375
21.208333,0.0107093202234,0.0107093202234,0.0107093202234
21.250000,0.010857111194,0.010857111194,0.010857111194
21.291667,0.0110069417125,0.0110069417125,0.0110069417125
21.333333,0.0111588399251,0.0111588399251,0.0111588399251
21.375000,0.0113128343663,0.0113128343663,0.0113128343663
21.416667,0.0114689539647,0.0114689539647,0.0114689539647
21.458333,0.0116272280478,0.0116272280478,0.0116272280478
21.500000,0.0117876863479,0.0117876863479,0.0117876863479
21.541667,0.0119503590079,0.0119503590079,0.0119503590079
21.583333,0.0121152765863,0.0121152765863,0.0121152765863
21.625000,0.0122824700635,0.0122824700635,0.0122824700635
21.666667,0.0124519708474,0.0124519708474,0.0124519708474
21.708333,0.0126238107793,0.0126238107793,0.0126238107793
21.750000,0.01279802214,0.01279802214,0.01279802214
21.791667,0.0129746376557,0.0129746376557,0.0129746376557
21.833333,0.0131536905044,0.0131536905044,0.0131536905044
21.875000,0.0133352143216,0.0133352143216,0.0133352143216
21.916667,0.0135192432074,0.0135192432074,0.0135192432074
21.958333,0.0137058117323,0.0137058117323,0.0137058117323
22.000000,0.0138949549437,0.0138949549437,0.0138949549437
22.041667,0.014086708373,0.014086708373,0.014086708373
22.083333,0.0142811080418,0.0142811080418,0.0142811080418
22.125000,0.0144781904686,0.0144781904686,0.0144781904686
22.166667,0.0146779926762,0.0146779926762,0.0146779926762
22.208333,0.0148805521982,0.0148805521982,0.0148805521982
22.250000,0.015085907086,0.015085907086,0.015085907086
22.291667,0.0152940959164,0.0152940959164,0.0152940959164
22.333333,0.0155051577983,0.0155051577983,0.0155051577983
22.375000,0.0157191323806,0.0157191323806,0.0157191323806
22.416667,0.0159360598591,0.0159360598591,0.0159360598591
22.458333,0.0161559809844,0.0161559809844,0.0161559809844
22.500000,0.0163789370695,0.0163789370695,0.0163789370695
22.541667,0.0166049699976,0.0166049699976,0.0166049699976
22.583333,0.0168341222297,0.0168341222297,0.0168341222297
22.625000,0.017066436813,0.017066436813,0.017066436813
22.666667,0.0173019573885,0.0173019573885,0.0173019573885
22.708333,0.0175407281996,0.0175407281996,0.0175407281996
22.750000,0.0177827941004,0.0177827941004,0.0177827941004
22.791667,0.0180282005638,0.0180282005638,0.0180282005638
22.833333,0.0182769936902,0.0182769936902,0.0182769936902
22.875000,0.0185292202164,0.0185292202164,0.0185292202164
22.916667,0.0187849275241,0.0187849275241,0.0187849275241
22.958333,0.0190441636487,0.0190441636487,0.0190441636487
23.000000,0.0193069772888,0.0193069772888,0.0193069772888
23.041667,0.0195734178149,0.0195734178149,0.0195734178149
23.083333,0.0198435352787,0.0198435352787,0.0198435352787
23.125000,0.0201173804228,0.0201173804228,0.0201173804228
23.166667,0.0203950046901,0.0203950046901,0.0203950046901
23.208333,0.0206764602331,0.0206764602331,0.0206764602331
23.250000,0.0209617999245,0.0209617999245,0.0209617999245
23.291667,0.0212510773663,0.0212510773663,0.0212510773663
23.333333,0.0215443469003,0.0215443469003,0.0215443469003
23.375000,0.0218416636183,0.0218416636183,0.0218416636183
23.416667,0.0221430833722,0.0221430833722,0.0221430833722
23.458333,0.022448662785,0.022448662785,0.022448662785
23.500000,0.0227584592607,0.0227584592607,0.0227584592607
23.541667,0.0230725309959,0.0230725309959,0.0230725309959
23.583333,0.0233909369899,0.0233909369899,0.0233909369899
23.625000,0.0237137370566,0.0237137370566,0.0237137370566
23.666667,0.0240409918351,0.0240409918351,0.0240409918351
23.708333,0.0243727628014,0.0243727628014,0.0243727628014
23.750000,0.0247091122799,0.0247091122799,0.0247091122799
23.791667,0.025050103455,0.025050103455,0.025050103455
23.833333,0.0253958003832,0.0253958003832,0.0253958003832
23.875000,0.0257462680049,0.0257462680049,0.0257462680049
23.916667,0.0261015721568,0.0261015721568,0.0261015721568
23.958333,0.026461779584,0.026461779584,0.026461779584
24.000000,0.0268269579528,0.0268269579528,0.0268269579528
24.041667,0.0271971758633,0.0271971758633,0.0271971758633
24.083333,0.0275725028622,0.0275725028622,0.0275725028622
24.125000,0.0279530094561,0.0279530094561,0.0279530094561
24.166667,0.0283387671245,0.0283387671245,0.0283387671245
24.208333,0.0287298483335,0.0287298483335,0.0287298483335
24.250000,0.0291263265491,0.0291263265491,0.0291263265491
24.291667,0.0295282762511,0.0295282762511,0.0295282762511
24.333333,0.0299357729472,0.0299357729472,0.0299357729472
24.375000,0.0303488931872,0.0303488931872,0.0303488931872
24.416667,0.0307677145773,0.0307677145773,0.0307677145773
24.458333,0.0311923157945,0.0311923157945,0.0311923157945
24.500000,0.0316227766017,0.0316227766017,0.0316227766017
24.541667,0.0320591778626,0.0320591778626,0.0320591778626
24.583333,0.0325016015567,0.0325016015567,0.0325016015567
24.625000,0.0329501307949,0.0329501307949,0.0329501307949
24.666667,0.0334048498351,0.0334048498351,0.0334048498351
24.708333,0.0338658440979,0.0338658440979,0.0338658440979
24.750000,0.0343332001828,0.0343332001828,0.0343332001828
24.791667,0.0348070058843,0.0348070058843,0.0348070058843
24.833333,0.0352873502085,0.0352873502085,0.0352873502085
24.875000,0.0357743233898,0.0357743233898,0.0357743233898
24.916667,0.036268016908,0.036268016908,0.036268016908
24.958333,0.0367685235051,0.0367685235051,0.0367685235051
25.000000,0.0372759372031,0.0372759372031,0.0372759372031
25.041667,0.0377903533217,0.0377903533217,0.0377903533217
25.083333,0.0383118684956,0.0383118684956,0.0383118684956
25.125000,0.0388405806934,0.0388405806934,0.0388405806934
25.166667,0.0393765892356,0.0393765892356,0.0393765892356
25.208333,0.0399199948135,0.0399199948135,0.0399199948135
25.250000,0.0404708995076,0.0404708995076,0.0404708995076
25.291667,0.0410294068075,0.0410294068075,0.0410294068075
25.333333,0.0415956216307,0.0415956216307,0.0415956216307
25.375000,0.0421696503429,0.0421696503429,0.0421696503429
25.416667,0.0427516007773,0.0427516007773,0.0427516007773
25.458333,0.0433415822555,0.0433415822555,0.0433415822555
25.500000,0.0439397056076,0.0439397056076,0.0439397056076
25.541667,0.0445460831933,0.0445460831933,0.0445460831933
25.583333,0.0451608289229,0.0451608289229,0.0451608289229
25.625000,0.0457840582785,0.0457840582785,0.0457840582785
25.666667,0.0464158883361,0.0464158883361,0.0464158883361
25.708333,0.0470564377872,0.0470564377872,0.0470564377872
25.750000,0.0477058269614,0.0477058269614,0.0477058269614
25.791667,0.0483641778488,0.0483641778488,0.0483641778488
25.833333,0.049031614123,0.049031614123,0.049031614123
25.875000,0.0497082611644,0.0497082611644,0.0497082611644
25.916667,0.0503942460835,0.0503942460835,0.0503942460835
